[2020-08-02 03:43:10,581] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 03:43:11,718] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-02 03:43:11,718] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-02 03:43:11,719] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-02 03:43:11,719] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-02 03:43:18,508] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 03:43:18,574] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 03:43:19,728] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-02 03:43:19,729] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-02 03:43:19,730] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-02 03:43:19,732] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-02 03:43:32,174] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 03:43:32,241] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 05:12:51,960] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 05:12:52,026] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 05:12:53,157] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-02 05:12:53,158] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-02 05:12:53,158] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-02 05:12:53,158] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-02 05:12:59,319] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-02 05:12:59,385] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-02 05:13:00,529] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-02 05:13:00,529] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-02 05:13:00,529] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
